district,demvote
5,11%
4,21%
13,24%
2,33%
12,48%
1,55%
7,57%
6,58%
10,60%
8,61%
11,64%
3,64%
14,71%
9,74%
,
,
,
,
,
,
,
,
,
,
,
,
,
