district,demvote
7,18.05%
4,22.36%
2,26.83%
1,30.33%
5,34.59%
9,37.70%
3,38.56%
11,46.51%
17,47.65%
8,47.74%
10,53.35%
12,56.89%
13,60.17%
14,65.18%
6,65.86%
16,70.63%
15,77.42%
18,77.67%
