district,demvote
15,18%
13,21%
7,23%
8,24%
5,26%
9,27%
14,31%
12,33%
10,35%
16,38%
26,41%
6,45%
20,48%
17,54%
4,55%
3,59%
25,59%
18,61%
1,68%
24,70%
23,71%
19,71%
11,71%
22,72%
21,74%
27,77%
2,77%
