district,demvote
13,18%
14,20%
12,33%
5,35%
9,39%
1,56%
11,58%
7,58%
3,60%
6,60%
8,60%
4,65%
2,67%
10,70%
,
,
,
,
,
,
,
,
,
,
,
,
,
