district,demvote
10,67.60%
4,66.49%
18,63.39%
5,63.04%
9,61.32%
11,61.32%
7,58.78%
3,58.65%
15,57.07%
8,56.13%
12,56.07%
16,55.73%
6,55.40%
17,41.52%
13,30.16%
14,24.36%
1,15.15%
2,9.02%
